episode,reward,epsilon,lc
49700,-58.910535,0.051,188
49800,-95.887682,0.05,189
49900,-85.98048400000002,0.05,194
50000,-82.294008,0.05,225
50100,-69.541944,0.05,223
50200,-86.05491400000001,0.05,192
50300,-97.309212,0.05,159
50400,-78.515776,0.05,185
50500,-91.95601400000001,0.05,197
50600,-108.24749299999999,0.05,217
50700,-78.03634300000002,0.05,182
50800,-91.278377,0.05,199
50900,-98.503704,0.05,184
51000,-100.964641,0.05,203
51100,-95.48309300000001,0.05,186
51200,-90.49983200000001,0.05,190
51300,-93.520857,0.05,162
51400,-77.349968,0.05,194
51500,-85.01787,0.05,179
51600,-93.921848,0.05,158
51700,-79.258284,0.05,185
51800,-57.858385000000006,0.05,211
51900,-69.05017500000001,0.05,183
52000,-99.24441300000001,0.05,188
52100,-95.79093600000002,0.05,211
52200,-82.40863000000002,0.05,195
52300,-109.43159800000001,0.05,142
52400,-89.91076000000001,0.05,196
52500,-73.843963,0.05,184
52600,-99.41239800000001,0.05,178
52700,-99.63167600000001,0.05,182
52800,-85.743466,0.05,167
52900,-96.07355000000001,0.05,188
53000,-64.115701,0.05,191
53100,-82.77441200000001,0.05,182
53200,-78.21527900000001,0.05,174
53300,-51.247209,0.05,166
53400,-96.18124,0.05,188
53500,-103.476578,0.05,180
53600,-58.87574,0.05,170
53700,-85.87680600000002,0.05,162
53800,-75.480052,0.05,183
53900,-110.96359500000001,0.05,172
54000,-83.94839400000001,0.05,168
54100,-107.93604500000001,0.05,187
54200,-116.12856200000002,0.05,172
54300,-119.471158,0.05,143
54400,-97.118768,0.05,171
54500,-107.656622,0.05,216
54600,-95.28765900000002,0.05,206
54700,-96.984043,0.05,187
54800,-76.050413,0.05,166
54900,-82.90137700000001,0.05,168
55000,-100.897,0.05,174
55100,-97.99004000000001,0.05,221
55200,-76.24861700000001,0.05,150
55300,-77.15592600000001,0.05,149
55400,-101.60152200000002,0.05,174
55500,-39.109303000000004,0.05,166
55600,-93.681232,0.05,158
55700,-96.30779100000001,0.05,177
55800,-99.40740800000002,0.05,191
55900,-109.184043,0.05,166
56000,-96.13425900000001,0.05,191
56100,-82.54058500000001,0.05,146
56200,-117.08161000000001,0.05,167
56300,-101.056397,0.05,159
56400,-77.14996500000001,0.05,204
56500,-91.57193500000001,0.05,182
56600,-98.07264400000001,0.05,187
56700,-77.284276,0.05,182
56800,-80.85196100000002,0.05,183
56900,-113.42895800000001,0.05,160
57000,-107.91497100000001,0.05,213
57100,-101.008438,0.05,147
57200,-114.63537200000002,0.05,153
57300,-88.636291,0.05,175
57400,-114.06321200000001,0.05,156
57500,-80.89395900000001,0.05,164
57600,-75.96960800000001,0.05,189
57700,-97.481773,0.05,193
57800,-88.79790100000001,0.05,161
57900,-106.994505,0.05,186
58000,-107.857453,0.05,162
58100,-95.663971,0.05,140
58200,-80.14189200000001,0.05,146
58300,-92.00757100000001,0.05,157
58400,-102.38062400000001,0.05,155
58500,-87.45218600000001,0.05,167
58600,-87.744923,0.05,142
58700,-56.81316700000001,0.05,143
58800,-87.17594700000001,0.05,173
58900,-109.58447000000001,0.05,166
59000,-102.47058100000001,0.05,204
59100,-99.47227900000001,0.05,177
59200,-109.230203,0.05,138
59300,-61.598217,0.05,127
59400,-114.29385500000001,0.05,148
59500,-81.62731500000001,0.05,160
59600,-95.215442,0.05,161
59700,-107.550167,0.05,149
59800,-100.67869300000001,0.05,137
59900,-77.55316200000001,0.05,161
60000,-78.63816500000001,0.05,154
60100,-73.800994,0.05,146
60200,-80.123181,0.05,170
60300,-65.15731400000001,0.05,154
60400,-113.799723,0.05,158
60500,-113.56548200000002,0.05,158
60600,-102.04728100000001,0.05,162
60700,-109.694523,0.05,128
60800,-101.39015400000001,0.05,132
60900,-105.10213000000002,0.05,169
61000,-89.75593900000001,0.05,142
61100,-95.605068,0.05,138
61200,-102.744043,0.05,147
61300,-114.599749,0.05,122
61400,-95.66757600000001,0.05,130
61500,-82.87171500000001,0.05,141
61600,-101.200681,0.05,157
61700,-82.52325900000001,0.05,138
61800,-109.02007,0.05,120
61900,-111.906934,0.05,153
62000,-64.14494900000001,0.05,186
62100,-101.54317600000002,0.05,152
62200,-87.894197,0.05,132
62300,-88.31846800000001,0.05,172
62400,-95.633752,0.05,159
62500,-96.04568700000002,0.05,154
62600,-89.76868900000001,0.05,164
62700,-100.22116199999999,0.05,143
62800,-93.45058900000001,0.05,155
62900,-117.523621,0.05,141
63000,-101.531668,0.05,139
63100,-69.97259000000001,0.05,142
63200,-40.405674,0.05,139
63300,-89.988381,0.05,136
63400,-83.560303,0.05,127
63500,-62.110646,0.05,163
63600,-75.87826600000001,0.05,147
63700,-55.566968,0.05,135
63800,-100.454989,0.05,176
63900,-98.816123,0.05,142
64000,-104.346458,0.05,121
64100,-103.66882100000001,0.05,127
64200,-103.929533,0.05,133
64300,-64.301983,0.05,136
64400,-78.939076,0.05,136
64500,-43.901706000000004,0.05,112
64600,-109.48315500000001,0.05,132
64700,-62.253545,0.05,135
64800,-87.791904,0.05,135
64900,-68.02130500000001,0.05,100
65000,-91.831826,0.05,137
65100,-113.663199,0.05,118
65200,-96.241535,0.05,124
65300,-110.751249,0.05,148
65400,-63.273677,0.05,126
65500,-108.11595200000001,0.05,123
65600,-119.898056,0.05,155
65700,-108.68035200000001,0.05,150
65800,-101.247255,0.05,140
65900,-94.92964400000001,0.05,139
66000,-89.465979,0.05,147
66100,-86.01554300000001,0.05,148
66200,-85.15897000000001,0.05,128
66300,-50.965422999999994,0.05,125
66400,-78.559573,0.05,129
66500,-105.72959500000002,0.05,146
66600,-105.38350200000001,0.05,142
66700,-86.647998,0.05,144
66800,-91.20893000000001,0.05,120
66900,-95.72967,0.05,144
67000,-94.470721,0.05,136
67100,-81.951099,0.05,128
67200,-97.470408,0.05,112
67300,-108.99539800000001,0.05,138
67400,-97.24337000000001,0.05,126
67500,-76.193312,0.05,112
67600,-97.867651,0.05,102
67700,-77.98103800000001,0.05,146
67800,-71.18399400000001,0.05,114
67900,-68.056514,0.05,99
68000,-111.500546,0.05,128
68100,-101.342195,0.05,121
68200,-84.77129300000001,0.05,128
68300,-117.04681500000001,0.05,138
68400,-97.037963,0.05,115
68500,-109.37947700000001,0.05,116
68600,-115.30165099999999,0.05,136
68700,-98.20279300000001,0.05,125
68800,-74.12657700000001,0.05,124
68900,-58.836518999999996,0.05,122
69000,-113.33483900000002,0.05,122
69100,-106.82235800000001,0.05,102
69200,-106.92228800000001,0.05,123
69300,-99.202415,0.05,137
69400,-78.28292,0.05,107
69500,-107.830568,0.05,123
69600,-80.52180200000001,0.05,104
69700,-89.241297,0.05,129
69800,-77.601121,0.05,118
69900,-84.04430500000001,0.05,129
70000,-89.47831500000001,0.05,124
70100,-87.261328,0.05,135
70200,-77.974663,0.05,121
70300,-46.366655,0.05,132
70400,-100.86913700000001,0.05,122
70500,-79.166528,0.05,119
70600,-104.09392000000001,0.05,103
70700,-109.447532,0.05,120
70800,-77.50160500000001,0.05,113
70900,-78.05366900000001,0.05,116
71000,-84.42103800000001,0.05,116
71100,-115.76915500000001,0.05,138
71200,-110.656723,0.05,101
71300,-93.77658600000001,0.05,125
71400,-102.76691600000001,0.05,118
71500,-108.758944,0.05,118
71600,-81.847421,0.05,113
71700,-49.746672999999994,0.05,117
71800,-91.269225,0.05,104
71900,-96.25207200000001,0.05,129
72000,-113.03532000000001,0.05,129
72100,-85.54526200000001,0.05,92
72200,-93.862938,0.05,122
72300,-88.27508500000002,0.05,121
72400,-106.41776900000002,0.05,128
72500,-97.78823100000001,0.05,126
72600,-105.47386600000002,0.05,125
72700,-96.15297,0.05,123
72800,-98.520616,0.05,111
72900,-108.59954700000002,0.05,128
73000,-111.548505,0.05,123
73100,-94.78854400000002,0.05,107
73200,-87.15944900000001,0.05,114
73300,-97.335683,0.05,114
73400,-92.803999,0.05,106
73500,-62.935758,0.05,101
73600,-70.014588,0.05,108
73700,-27.571420000000003,0.05,101
73800,-76.370035,0.05,130
73900,-93.983528,0.05,113
74000,-87.334373,0.05,112
74100,-60.698674999999994,0.05,99
74200,-96.326502,0.05,101
74300,-102.33128,0.05,123
74400,-72.79957300000001,0.05,109
74500,-66.274192,0.05,102
74600,-88.097391,0.05,119
74700,-105.36062900000002,0.05,125
74800,-112.562262,0.05,115
74900,-105.256123,0.05,104
75000,-60.611495,0.05,120
75100,-72.142032,0.05,96
75200,-64.853633,0.05,101
75300,-91.41448700000001,0.05,120
75400,-83.020989,0.05,103
75500,-89.487874,0.05,114
75600,-74.263101,0.05,100
75700,-70.59949800000001,0.05,100
75800,-74.61335600000001,0.05,127
75900,-86.86311400000001,0.05,95
76000,-70.310923,0.05,116
76100,-101.168249,0.05,112
76200,-86.127959,0.05,103
76300,-81.92601300000001,0.05,127
76400,-114.148593,0.05,109
76500,-97.008715,0.05,109
76600,-84.555763,0.05,118
76700,-102.225803,0.05,112
76800,-110.474039,0.05,104
76900,-59.78222100000001,0.05,124
77000,-103.58426800000001,0.05,117
77100,-65.09245,0.05,119
77200,-84.004527,0.05,127
77300,-57.016361,0.05,116
77400,-78.43219400000001,0.05,125
77500,-89.75094900000002,0.05,107
77600,-113.663199,0.05,99
77700,-48.56673,0.05,113
77800,-91.34781700000002,0.05,105
77900,-112.672315,0.05,109
78000,-96.996379,0.05,111
78100,-107.68129400000001,0.05,115
78200,-110.06446000000001,0.05,95
78300,-101.68427600000001,0.05,111
78400,-70.49582000000001,0.05,97
78500,-102.61985500000002,0.05,131
78600,-59.186774,0.05,128
78700,-85.01966900000001,0.05,119
78800,-98.69831,0.05,100
78900,-65.467377,0.05,109
79000,-86.54030800000001,0.05,106
79100,-80.416739,0.05,94
79200,-117.381136,0.05,119
79300,-82.79034600000001,0.05,100
79400,-73.40832700000001,0.05,105
79500,-40.650452,0.05,111
79600,-73.74666,0.05,144
79700,-69.139568,0.05,122
79800,-91.310809,0.05,122
79900,-101.50976600000001,0.05,157
80000,-98.31146100000001,0.05,101
80100,-104.6044,0.05,117
80200,-85.20276700000001,0.05,86
80300,-68.57157000000001,0.05,123
80400,-100.20425,0.05,120
80500,-53.667804000000004,0.05,122
80600,-99.581918,0.05,119
80700,-94.89402100000001,0.05,105
80800,-98.145275,0.05,102
80900,-101.79376500000001,0.05,107
81000,-54.58842,0.05,120
81100,-93.92323300000001,0.05,108
81200,-67.16833700000001,0.05,105
81300,-112.927066,0.05,130
81400,-66.334073,0.05,115
81500,-70.361095,0.05,119
81600,-105.978949,0.05,110
81700,-106.79172500000001,0.05,103
81800,-45.587139,0.05,121
81900,-100.148531,0.05,111
82000,-80.17432400000001,0.05,101
82100,-49.267654,0.05,121
82200,-67.988459,0.05,108
82300,-101.12625100000001,0.05,106
82400,-74.57773300000001,0.05,88
82500,-72.38999400000002,0.05,95
82600,-93.45655000000001,0.05,116
82700,-98.38506300000002,0.05,120
82800,-106.94279800000001,0.05,142
82900,-66.757373,0.05,100
83000,-114.61846000000001,0.05,135
83100,-101.97465,0.05,117
83200,-64.613431,0.05,125
83300,-86.03980100000001,0.05,115
83400,-81.18212000000001,0.05,92
83500,-61.33889,0.05,102
83600,-84.89964300000001,0.05,121
83700,-57.60723200000001,0.05,104
83800,-59.647496000000004,0.05,95
83900,-83.24567100000002,0.05,90
84000,-96.523735,0.05,97
84100,-78.67517300000002,0.05,106
84200,-66.199348,0.05,126
84300,-68.406769,0.05,120
84400,-59.647082,0.05,110
84500,-81.905917,0.05,105
84600,-85.81831000000001,0.05,98
84700,-93.739164,0.05,93
84800,-110.06945,0.05,88
84900,-79.30762800000001,0.05,100
85000,-53.355528,0.05,116
85100,-94.95611500000001,0.05,112
85200,-106.938786,0.05,105
85300,-68.58986700000001,0.05,107
85400,-94.089005,0.05,132
85500,-70.476695,0.05,98
85600,-53.829,0.05,107
85700,-85.38822100000002,0.05,126
85800,-63.779167,0.05,113
85900,-79.89988400000001,0.05,125
86000,-85.02882100000001,0.05,106
86100,-63.059946,0.05,109
86200,-71.932877,0.05,104
86300,-95.633752,0.05,114
86400,-106.47528700000001,0.05,121
86500,-81.673889,0.05,111
86600,-98.53891300000001,0.05,126
86700,-80.05055000000002,0.05,96
86800,-115.568738,0.05,119
86900,-84.224219,0.05,111
87000,-65.57743,0.05,104
87100,-77.236731,0.05,118
87200,-87.59744800000001,0.05,111
87300,-91.659672,0.05,127
87400,-95.766678,0.05,123
87500,-83.037901,0.05,129
87600,-78.471979,0.05,136
87700,-73.191412,0.05,106
87800,-61.326554,0.05,95
87900,-59.439312,0.05,99
88000,-81.80223900000001,0.05,108
88100,-84.747035,0.05,97
88200,-81.23825300000001,0.05,123
88300,-59.431966,0.05,120
88400,-77.599322,0.05,96
88500,-58.413219,0.05,126
88600,-96.274945,0.05,105
88700,-47.558934,0.05,120
88800,-92.468436,0.05,117
88900,-78.92632600000002,0.05,125
89000,-110.88001300000002,0.05,99
89100,-68.98350500000001,0.05,136
89200,-105.279824,0.05,98
89300,-93.59765,0.05,112
89400,-60.250289,0.05,111
89500,-85.07816500000001,0.05,96
89600,-79.78248500000001,0.05,106
89700,-72.60372500000001,0.05,115
89800,-119.925505,0.05,120
89900,-115.419464,0.05,102
90000,-87.046212,0.05,109
90100,-82.780787,0.05,113
90200,-81.385314,0.05,122
90300,-89.72710500000001,0.05,122
90400,-51.39926,0.05,90
90500,-89.08467700000001,0.05,108
90600,-84.81966600000001,0.05,117
90700,-64.04903100000001,0.05,90
90800,-61.171319000000004,0.05,120
90900,-123.085417,0.05,101
91000,-79.124944,0.05,111
91100,-57.497178999999996,0.05,107
91200,-86.579115,0.05,110
91300,-47.41644900000001,0.05,111
91400,-98.37452600000002,0.05,112
91500,-109.15078300000002,0.05,129
91600,-72.142032,0.05,103
91700,-85.20276700000001,0.05,108
91800,-105.53319,0.05,99
91900,-108.566701,0.05,101
92000,-95.028746,0.05,91
92100,-88.188319,0.05,89
92200,-111.45577100000001,0.05,97
92300,-123.78176500000001,0.05,99
92400,-65.52351,0.05,120
92500,-87.50790500000001,0.05,113
92600,-106.10632100000001,0.05,95
92700,-65.473752,0.05,99
92800,-84.48950700000002,0.05,107
92900,-89.239912,0.05,111
93000,-95.489054,0.05,98
93100,-56.85655,0.05,122
93200,-52.100184,0.05,118
93300,-90.313964,0.05,104
93400,-61.484566,0.05,101
93500,-80.635046,0.05,73
93600,-67.574725,0.05,117
93700,-85.630229,0.05,116
93800,-110.13889,0.05,96
93900,-73.32835,0.05,109
94000,-59.241108,0.05,116
94100,-75.82074800000001,0.05,116
94200,-120.478954,0.05,114
94300,-63.501957000000004,0.05,118
94400,-81.38989000000001,0.05,132
94500,-87.095556,0.05,82
94600,-87.653581,0.05,101
94700,-87.366805,0.05,90
94800,-76.85501500000001,0.05,109
94900,-99.16720600000001,0.05,104
95000,-110.44659000000001,0.05,106
95100,-92.71723300000001,0.05,91
95200,-78.67337400000001,0.05,109
95300,-49.089132,0.05,87
95400,-64.281473,0.05,106
95500,-73.15717400000001,0.05,109
95600,-74.045772,0.05,113
95700,-103.853718,0.05,111
95800,-103.91899600000002,0.05,120
95900,-100.98916300000002,0.05,104
96000,-116.52816100000001,0.05,100
96100,-116.77155400000001,0.05,91
96200,-96.056638,0.05,110
96300,-80.941918,0.05,113
96400,-81.27526100000001,0.05,133
96500,-98.083181,0.05,91
96600,-105.211769,0.05,107
96700,-75.25357100000001,0.05,132
96800,-74.73990700000002,0.05,114
96900,-52.396519,0.05,113
97000,-57.526427,0.05,97
97100,-59.15434200000001,0.05,95
97200,-121.88856200000001,0.05,98
97300,-71.80231400000001,0.05,89
97400,-78.066005,0.05,96
97500,-43.779317,0.05,95
97600,-71.04386500000001,0.05,110
97700,-90.989802,0.05,102
97800,-96.95299600000001,0.05,93
97900,-42.431803,0.05,116
98000,-105.464307,0.05,110
98100,-80.524579,0.05,118
98200,-107.731052,0.05,124
98300,-69.728226,0.05,105
98400,-51.324830000000006,0.05,100
98500,-100.11110900000001,0.05,110
98600,-73.69094100000001,0.05,91
98700,-79.320378,0.05,113
98800,-48.904649,0.05,113
98900,-73.172701,0.05,93
99000,-40.12805,0.05,112
99100,-81.64880300000002,0.05,113
99200,-58.861191,0.05,106
99300,-74.25492700000001,0.05,116
99400,-75.380536,0.05,84
99500,-90.276542,0.05,96
99600,-68.55285900000001,0.05,103
99700,-83.43472300000002,0.05,105
99800,-82.417782,0.05,97
99900,-93.044201,0.05,117
